,TEMP,DEWP,SLP,VISIB,WDSP,MXSPD,MAX,MIN,Label_Rain
40,39.1,34.1,1019.8,4.6,12.3,18.1,45.0,30.9,1
41,27.9,21.0,1017.6,7.6,13.3,17.1,30.9,25.0,1
42,29.2,22.2,1019.2,9.5,16.6,22.0,34.0,23.0,0
43,33.1,22.3,1015.9,12.0,10.4,22.0,46.9,24.1,0
44,37.0,29.6,1009.3,9.7,9.5,15.0,43.0,32.0,1
45,31.3,22.4,1010.3,8.8,7.6,20.0,43.0,25.0,0
46,18.4,8.3,1015.9,8.8,17.6,25.1,37.0,8.1,1
47,18.9,8.2,1024.8,10.6,8.4,15.0,39.9,10.0,0
48,40.4,28.3,1012.9,10.8,6.8,17.1,51.1,33.1,0
49,42.3,35.0,1009.6,7.8,15.6,25.1,45.0,37.9,1
50,34.7,31.0,1000.1,1.9,15.9,35.0,46.9,17.1,1
51,13.5,-0.3,1025.4,10.5,18.2,33.0,19.9,8.1,1
52,27.8,12.8,1025.8,13.0,9.8,18.1,46.0,15.1,0
53,37.7,25.3,1025.3,13.2,5.1,15.0,55.0,27.0,0
54,40.4,27.1,1021.5,11.9,4.3,10.1,48.0,35.1,0
55,35.1,29.6,1015.6,3.6,8.0,20.0,43.0,30.9,1
56,40.1,28.1,1008.9,12.6,10.6,15.0,55.0,33.1,0
57,42.9,28.2,1012.3,13.1,12.9,22.0,48.0,35.1,0
58,35.0,29.1,1018.8,9.8,3.2,15.0,41.0,33.1,1
59,26.5,17.2,1015.7,8.4,19.0,25.1,30.9,24.1,1
60,26.5,22.0,1010.1,4.4,10.7,20.0,30.9,24.1,1
61,29.3,22.0,1011.2,6.7,8.2,20.0,30.0,27.0,1
62,26.0,15.4,1013.0,12.3,9.0,15.0,36.0,16.0,1
63,32.9,24.9,1016.4,10.6,6.7,15.0,45.0,25.0,1
64,31.0,21.8,1026.5,10.0,10.7,20.0,43.0,24.1,1
65,26.3,18.9,1029.7,9.1,9.6,17.1,33.1,21.9,1
66,36.2,26.4,1028.1,13.2,9.5,20.0,46.0,28.0,0
67,41.9,30.9,1024.6,14.0,10.1,20.0,62.1,32.0,0
68,47.0,41.0,1017.1,9.2,9.7,15.9,57.0,44.1,1
69,47.4,42.7,1014.1,7.1,11.2,21.0,50.0,45.0,0
70,50.7,42.2,1016.3,7.2,7.9,15.0,60.1,43.0,1
71,48.3,36.8,1018.0,10.5,10.9,24.1,64.0,37.9,0
72,50.3,42.8,1004.9,7.5,14.6,25.1,60.1,42.1,1
73,35.6,27.4,1014.1,7.7,19.5,25.1,43.0,30.0,1
74,42.6,30.0,1018.2,12.0,8.1,20.0,63.0,32.0,0
75,49.0,37.4,1012.1,10.5,10.4,20.0,64.9,35.1,1
76,50.9,34.5,1008.6,10.2,14.9,30.1,55.9,42.1,1
77,42.8,23.0,1015.6,14.2,8.4,17.1,57.9,30.0,0
78,53.5,38.3,1004.3,9.7,16.6,22.9,66.0,46.0,1
79,62.9,49.4,989.0,9.2,20.5,25.1,72.0,48.9,0
80,42.2,35.8,1004.9,8.9,9.7,20.0,46.0,37.0,1
81,43.4,31.6,1008.6,9.7,9.8,20.0,52.0,36.0,1
82,34.8,22.4,1017.3,12.8,17.9,25.1,46.9,25.0,0
83,35.1,27.2,1023.7,12.6,8.6,18.1,45.0,27.0,0
84,38.6,31.5,1023.4,9.4,6.7,14.0,54.0,28.0,0
85,44.9,30.5,1023.1,9.2,8.1,17.1,57.0,30.9,0
86,45.3,26.2,1022.5,10.0,4.8,20.0,63.0,28.9,0
87,48.4,28.3,1013.7,10.0,13.8,25.1,60.1,43.0,1
88,47.4,43.2,1006.0,7.1,17.0,30.1,50.0,45.0,1
89,40.9,39.4,1008.5,4.0,15.1,20.0,46.0,39.0,1
90,46.0,37.9,1012.6,8.7,9.9,15.0,59.0,39.0,0
91,45.5,40.3,1015.0,6.1,4.7,25.1,55.0,36.0,1
92,41.1,31.1,1016.2,11.1,13.5,25.1,53.1,33.1,1
93,42.8,26.6,1017.6,13.1,7.4,15.0,55.9,32.0,0
94,43.9,28.2,1017.0,13.5,5.4,12.0,55.0,33.1,0
95,47.3,30.3,1009.2,10.1,8.8,15.0,60.1,36.0,0
96,47.7,35.2,1005.8,8.5,11.6,22.0,57.0,43.0,1
97,51.8,42.3,1003.6,7.6,9.7,18.1,63.0,45.0,1
98,45.2,41.9,1007.2,4.6,11.1,20.0,55.9,39.9,1
99,39.3,31.4,1014.6,9.7,16.7,25.1,45.0,33.1,1
100,39.8,29.9,1015.1,9.4,6.7,15.0,46.9,34.0,0
101,39.9,24.7,1016.0,12.0,10.3,15.0,48.0,30.0,0
102,45.2,27.7,1013.2,14.0,5.1,15.0,64.0,35.1,0
103,48.6,37.0,1008.6,10.4,8.5,17.1,61.0,42.1,1
104,40.2,34.2,1005.6,8.6,23.5,40.0,48.0,34.0,1
105,38.0,25.5,1015.9,14.2,9.8,25.1,53.1,27.0,0
106,33.8,16.9,1015.9,14.8,15.8,20.0,41.0,28.9,1
107,35.1,16.7,1021.4,14.9,12.4,22.0,45.0,23.0,0
108,35.1,21.1,1023.5,14.5,15.0,25.1,41.0,28.0,1
109,39.9,22.9,1025.1,14.4,9.0,20.0,60.1,24.1,0
110,56.5,31.3,1009.8,14.9,10.1,13.0,80.1,41.0,0
111,68.5,40.5,1002.9,14.9,8.1,15.0,84.0,50.0,0
112,68.1,39.4,1009.2,14.7,12.2,20.0,80.1,52.0,0
113,60.7,53.0,999.5,8.6,12.7,20.0,73.9,54.0,1
114,43.7,38.8,999.1,8.5,19.2,30.1,52.0,39.0,1
115,43.9,34.1,1014.3,12.9,19.5,30.1,55.0,37.9,1
116,48.1,36.2,1013.3,10.3,9.5,25.1,64.9,35.1,0
117,59.3,45.0,999.3,11.8,19.3,25.1,75.0,46.9,0
118,56.4,52.6,993.4,5.5,16.6,25.1,68.0,51.1,1
119,56.9,54.5,988.7,5.3,9.8,15.0,61.0,52.0,1
120,47.2,40.8,995.4,11.4,9.2,15.0,52.0,39.9,0
121,42.5,38.6,1004.7,9.9,12.0,15.0,45.0,41.0,1
122,45.8,43.7,1014.8,7.1,8.7,15.0,51.1,43.0,1
123,52.1,42.5,1022.5,9.2,8.3,15.0,64.9,43.0,0
124,56.6,46.2,1018.5,9.7,4.3,20.0,64.9,50.0,1
125,55.2,45.4,1013.4,9.2,9.5,20.0,69.1,48.0,1
126,57.2,43.1,1013.5,9.5,4.4,15.0,71.1,42.1,0
127,62.6,44.6,1013.1,11.3,5.7,20.0,75.0,48.0,0
128,68.7,48.8,1006.3,9.3,17.9,30.1,81.0,59.0,0
129,70.6,54.9,996.7,7.9,25.1,45.1,80.1,57.0,1
130,58.8,41.7,1007.8,12.3,10.7,20.0,73.0,50.0,0
131,48.5,32.6,1016.5,12.9,16.4,22.9,69.1,37.0,1
132,42.8,26.1,1025.0,10.7,14.7,20.0,53.1,37.0,0
133,50.8,30.5,1018.5,12.6,6.7,12.0,64.0,39.0,0
134,59.8,42.3,1012.0,12.6,10.3,15.0,75.0,46.9,0
135,61.6,50.0,1009.4,11.4,8.1,15.0,72.0,55.0,1
136,59.0,52.5,1009.1,5.7,6.7,15.0,66.9,55.9,1
137,60.6,46.8,1011.5,10.9,4.8,18.1,72.0,52.0,1
138,62.8,46.6,1009.9,14.9,9.3,20.0,75.9,48.9,0
139,68.5,54.5,999.4,11.8,14.1,20.0,78.1,60.1,0
140,60.0,48.2,1003.8,9.9,11.3,18.1,77.0,48.9,0
141,63.6,47.0,1004.8,11.4,14.3,25.1,77.0,53.1,1
142,63.6,51.1,1014.0,12.1,9.9,18.1,73.9,54.0,0
143,68.5,58.6,1005.6,7.2,18.8,25.1,90.0,57.9,1
144,83.4,69.1,1000.9,9.7,15.1,25.1,93.0,75.9,0
145,73.4,58.4,1014.6,11.2,9.5,20.0,84.9,63.0,1
146,65.3,57.4,1020.7,9.0,13.2,25.1,71.1,60.1,1
147,67.7,57.7,1018.0,9.0,15.6,20.0,81.0,61.0,0
148,79.0,66.5,1008.5,12.6,18.2,25.1,89.1,72.0,0
149,81.7,56.8,1002.2,12.3,15.1,22.9,91.0,72.0,0
150,74.0,49.6,1010.2,14.7,7.4,15.0,87.1,60.1,0
151,73.3,52.3,1017.7,14.4,10.5,15.0,84.0,62.1,0
152,72.9,54.3,1016.2,11.4,12.6,20.0,84.9,63.0,1
153,78.8,60.0,1006.2,12.7,16.0,20.0,93.9,68.0,0
154,78.2,62.9,1003.5,9.9,8.9,25.1,90.0,70.0,1
155,65.3,54.7,1008.8,8.9,10.4,15.0,82.0,55.9,1
156,59.2,47.7,1014.7,10.2,8.3,15.0,70.0,51.1,0
157,71.1,58.9,1008.8,10.4,13.1,25.1,84.9,63.0,1
158,71.9,59.6,1002.6,10.8,9.4,20.0,87.1,61.0,1
159,76.4,66.5,1010.5,10.4,11.5,20.0,90.0,64.0,1
160,80.9,70.5,1014.2,13.2,14.4,22.0,90.0,72.0,0
161,83.9,72.0,1015.6,10.5,8.8,15.0,96.1,75.9,0
162,83.4,75.1,1016.6,6.5,9.4,17.1,93.9,77.0,0
163,84.3,70.7,1009.8,10.5,7.0,17.1,97.0,75.9,1
164,81.9,67.3,1007.7,12.7,12.2,20.0,93.0,72.0,0
165,79.5,68.3,1005.4,10.3,13.7,20.0,91.0,72.0,0
166,74.4,58.8,1009.8,12.4,13.4,20.0,89.1,61.0,1
167,77.3,62.4,1012.3,13.3,7.7,20.0,91.9,64.0,0
168,89.1,66.9,1003.9,13.0,14.7,22.0,102.9,78.1,0
169,90.0,64.9,1001.0,14.9,15.4,25.1,100.0,80.1,0
170,82.9,61.9,1000.3,13.6,13.3,20.0,93.9,77.0,1
171,73.0,60.8,1014.8,10.9,8.9,20.0,82.9,66.9,1
172,75.5,61.8,1016.7,13.7,6.8,13.0,88.0,66.0,0
173,80.5,62.5,1014.2,12.5,9.7,17.1,93.0,69.1,0
174,75.7,63.6,1007.7,9.3,15.4,25.1,90.0,62.1,1
175,71.5,59.7,1007.9,11.2,14.4,20.0,84.0,55.0,1
176,69.5,55.5,1016.1,11.8,7.8,20.0,86.0,55.0,0
177,80.4,64.7,1008.9,10.2,14.9,25.1,96.1,66.0,1
178,72.7,63.9,1015.9,10.0,9.8,15.0,81.0,66.0,1
179,79.9,69.2,1017.0,9.6,11.5,20.0,95.0,70.0,0
180,84.2,69.0,1015.7,14.9,14.2,22.9,93.0,75.0,0
181,82.5,68.7,1009.8,14.8,15.3,20.0,98.1,73.0,1
182,80.3,64.7,1007.6,13.6,12.2,30.1,93.0,72.0,1
183,75.2,61.2,1012.8,14.0,8.6,25.1,87.1,66.9,1
184,77.2,68.2,1007.1,10.1,12.0,25.1,91.9,69.1,1
185,81.9,70.7,1008.6,10.4,6.7,20.0,90.0,72.0,0
186,70.2,55.6,1015.5,9.9,9.0,20.0,81.0,59.0,0
187,73.3,60.2,1013.5,9.7,4.7,12.0,90.0,64.0,0
188,70.3,54.5,1018.3,13.7,6.8,17.1,82.9,60.1,0
189,70.5,53.1,1022.1,12.1,4.3,11.1,82.9,57.9,0
190,72.2,54.3,1023.3,11.8,5.9,15.0,82.0,63.0,0
191,72.0,57.0,1019.0,13.4,7.0,11.1,80.1,66.0,1
192,71.7,64.3,1016.6,8.7,8.2,17.1,82.9,64.0,1
193,75.3,62.6,1013.3,9.9,5.2,14.0,89.1,68.0,1
194,75.0,65.2,1012.7,8.3,2.6,15.0,84.9,66.0,1
195,75.1,63.5,1016.0,9.5,5.8,15.0,84.9,66.9,0
196,76.0,61.9,1018.2,10.0,5.3,14.0,88.0,64.9,0
197,75.7,63.5,1017.9,9.4,3.9,15.0,87.1,64.9,1
198,81.0,65.8,1015.2,7.8,1.7,8.9,93.9,71.1,0
199,82.6,66.2,1013.1,11.1,5.2,13.0,93.9,71.1,0
200,76.6,67.4,1013.0,8.9,5.5,10.1,86.0,69.1,1
201,77.3,68.7,1011.6,8.2,3.1,10.1,88.0,71.1,1
202,75.3,59.3,1016.9,11.4,6.4,18.1,87.1,62.1,0
203,77.5,60.6,1016.2,13.5,3.6,8.9,89.1,69.1,0
204,78.6,63.0,1015.0,13.3,8.4,18.1,91.9,66.0,0
205,83.5,68.2,1012.6,12.2,11.9,20.0,96.1,73.0,0
206,86.4,56.2,1015.6,11.3,9.1,13.0,95.0,78.1,0
207,81.4,55.2,1019.6,10.8,5.0,10.1,91.0,73.9,1
208,85.8,71.6,1014.4,12.4,8.6,18.1,97.0,73.9,0
209,85.1,68.7,1012.6,10.2,5.1,13.0,95.0,75.0,0
210,83.5,71.3,1016.7,9.7,7.5,15.9,96.1,75.0,0
211,85.8,70.9,1015.4,10.3,5.8,12.0,97.0,75.0,0
212,87.3,71.6,1010.7,12.5,8.6,15.0,98.1,77.0,0
213,85.7,72.7,1009.0,13.0,6.2,20.0,95.0,77.0,1
214,76.2,69.9,1011.1,8.2,7.5,14.0,82.0,72.0,1
215,76.0,67.1,1013.9,12.7,8.7,17.1,84.0,69.1,0
216,73.5,65.9,1016.5,12.1,5.0,14.0,81.0,68.0,1
217,73.4,64.6,1015.0,13.0,4.7,20.0,84.9,63.0,1
218,69.6,60.3,1017.8,9.7,5.3,12.0,80.1,64.0,1
219,67.7,56.8,1020.3,12.3,5.4,10.1,79.0,57.9,0
220,70.3,60.0,1018.7,10.7,6.1,17.1,81.0,61.0,0
221,77.2,60.5,1014.1,11.9,8.8,20.0,90.0,66.0,0
222,75.8,65.0,1013.2,10.3,4.4,10.1,86.0,68.0,1
223,71.2,58.4,1020.7,12.1,2.9,10.1,88.0,57.9,0
224,76.8,59.2,1019.1,13.7,6.5,17.1,91.0,63.0,0
225,77.4,58.9,1016.9,11.6,6.0,15.0,88.0,64.0,0
226,73.2,55.4,1020.2,10.8,6.6,15.0,82.0,64.0,0
227,72.5,57.7,1018.6,10.5,7.3,13.0,81.0,64.9,0
228,72.0,56.0,1021.5,13.7,3.3,12.0,82.9,61.0,0
229,70.8,52.7,1023.0,11.1,4.4,8.9,82.0,55.0,0
230,70.6,55.5,1022.5,9.7,1.9,10.1,84.9,55.9,0
231,72.2,54.3,1020.9,12.3,4.4,10.1,84.0,57.0,1
232,73.4,54.2,1019.8,14.0,5.4,12.0,84.0,62.1,0
233,73.2,51.8,1020.0,14.9,5.3,13.0,84.9,62.1,0
234,75.5,52.1,1016.7,11.6,4.1,12.0,89.1,63.0,0
235,77.1,59.8,1012.8,9.3,7.4,18.1,89.1,69.1,1
236,80.3,60.2,1013.2,13.0,9.7,15.9,93.0,66.0,0
237,81.5,60.7,1014.3,10.3,10.3,17.1,93.0,66.9,0
238,83.3,58.3,1013.3,10.0,10.8,20.0,93.9,71.1,0
239,80.3,56.5,1010.7,12.3,10.6,24.1,93.9,64.9,0
240,84.3,63.2,1006.8,13.2,12.1,20.0,95.0,73.0,0
241,84.5,65.1,1008.6,13.2,7.8,15.0,96.1,72.0,0
242,83.4,64.9,1011.8,13.5,7.1,19.0,93.9,71.1,0
243,84.6,63.9,1013.0,14.9,8.9,20.0,95.0,73.9,0
244,84.7,63.3,1009.0,14.9,12.0,24.1,95.0,73.9,0
245,69.8,57.0,1009.5,9.7,7.9,17.1,91.0,59.0,1
246,59.9,47.3,1016.8,11.5,3.2,15.9,72.0,50.0,1
247,64.2,49.7,1017.5,11.5,1.3,8.9,82.0,50.0,0
248,68.3,53.2,1016.2,11.6,4.0,17.1,80.1,57.0,0
249,65.0,46.3,1022.0,13.6,5.5,15.0,78.1,50.0,0
250,70.8,49.0,1019.8,13.7,7.2,18.1,86.0,59.0,0
251,74.4,53.3,1017.7,14.9,3.9,8.0,87.1,62.1,0
252,75.7,59.5,1015.5,10.8,2.5,7.0,90.0,63.0,0
253,73.7,58.4,1013.7,10.9,7.2,30.1,82.9,63.0,0
254,63.1,46.4,1019.9,14.9,6.2,15.0,75.0,52.0,0
255,62.1,46.2,1016.8,12.7,7.8,20.0,79.0,50.0,0
256,66.0,50.3,1009.6,12.1,4.7,12.0,79.0,51.1,0
257,66.4,47.9,1013.1,12.4,5.0,13.0,81.0,55.0,0
258,64.6,42.0,1013.1,11.9,4.5,12.0,82.9,48.0,0
259,75.0,48.3,1003.4,14.9,8.0,15.0,95.0,63.0,0
260,70.0,51.4,1007.6,11.1,9.3,20.0,88.0,57.9,1
261,62.9,46.5,1010.9,13.2,3.5,13.0,84.9,46.0,0
262,65.8,44.9,1009.6,13.8,8.1,22.0,77.0,61.0,0
263,54.8,37.5,1024.1,14.9,4.8,11.1,64.9,43.0,0
264,56.8,37.7,1026.8,12.6,5.7,18.1,78.1,43.0,0
265,67.7,39.0,1017.7,14.3,14.4,22.0,84.9,55.0,0
266,68.4,48.7,1014.2,10.8,3.9,12.0,81.0,53.1,0
267,64.6,44.6,1016.5,11.5,3.8,11.1,77.0,50.0,1
268,66.5,43.2,1009.8,12.4,8.1,25.1,82.0,55.0,0
269,62.3,38.8,1012.1,13.5,5.8,15.0,82.9,42.1,0
270,76.6,50.6,1004.1,14.5,5.6,15.0,100.0,62.1,0
271,80.8,48.7,1001.1,10.1,13.8,20.0,90.0,75.0,0
272,65.6,33.5,1022.6,11.1,6.1,14.0,82.0,46.0,0
273,67.7,38.6,1021.2,12.1,7.6,15.9,84.9,53.1,0
274,77.0,51.3,1014.3,10.0,11.5,25.1,93.9,66.0,0
275,71.9,47.7,1016.0,9.9,9.9,20.0,84.0,63.0,0
276,58.8,35.5,1026.9,13.7,8.6,13.0,70.0,46.0,0
277,55.3,30.8,1022.6,12.7,4.2,15.0,75.0,37.9,0
278,53.1,32.7,1024.8,13.9,9.3,17.1,66.9,44.1,0
279,52.5,34.4,1023.6,13.1,7.6,18.1,70.0,39.9,0
280,58.3,37.9,1017.4,14.9,6.6,12.0,75.0,46.0,0
281,57.5,36.0,1018.4,12.5,1.8,5.1,73.9,39.9,0
282,62.5,38.1,1012.0,10.0,1.8,5.1,81.0,50.0,0
283,63.0,37.9,1013.2,10.1,2.9,10.1,79.0,46.0,0
284,65.7,38.9,1018.6,11.4,5.9,17.1,80.1,54.0,0
285,65.1,44.5,1020.6,9.2,6.9,13.0,82.0,52.0,0
286,67.0,47.1,1021.3,10.0,3.8,8.9,86.0,50.0,0
287,71.4,51.6,1020.9,11.0,3.5,8.9,89.1,57.9,0
288,68.2,52.6,1018.0,9.1,5.8,17.1,79.0,59.0,0
289,68.5,57.0,1014.7,9.9,9.0,20.0,77.0,62.1,1
290,69.7,53.7,1014.5,11.2,8.7,15.0,81.0,61.0,0
291,70.9,56.7,1014.2,12.1,6.3,18.1,81.0,64.9,0
292,70.0,53.8,1018.3,10.9,9.5,18.1,82.0,59.0,0
293,67.3,53.1,1014.8,10.6,11.4,25.1,73.9,63.0,1
294,59.9,50.3,1019.5,11.7,5.8,15.0,66.0,48.9,0
295,50.8,39.6,1023.8,13.3,6.9,13.0,59.0,43.0,0
296,47.0,37.7,1020.6,13.8,3.3,8.9,53.1,39.9,0
297,52.6,45.3,1013.4,9.2,5.1,10.1,62.1,46.9,1
298,47.5,33.5,1018.5,10.4,9.4,15.0,57.0,35.1,0
299,38.0,27.6,1018.6,10.2,3.4,10.1,50.0,28.0,0
300,46.7,32.9,1017.3,9.9,2.6,10.1,62.1,30.0,0
301,49.1,36.4,1019.6,10.0,4.1,17.1,66.9,36.0,0
302,58.8,42.5,1012.8,14.3,7.6,15.0,78.1,45.0,0
303,49.3,37.9,1018.2,11.8,7.4,12.0,66.9,39.9,0
304,46.3,34.4,1022.7,10.0,4.1,12.0,68.0,30.9,0
305,58.1,41.9,1015.8,12.3,7.3,17.1,78.1,44.1,0
306,54.6,24.9,1025.2,12.3,7.3,15.9,69.1,46.9,0
307,48.0,26.0,1030.3,9.9,3.5,12.0,55.0,39.0,0
308,36.9,18.6,1034.3,9.9,8.6,14.0,46.9,27.0,0
309,33.7,16.6,1030.1,9.4,11.2,20.0,39.0,28.0,0
310,35.5,23.4,1029.3,9.4,6.9,12.0,41.0,30.0,1
311,30.5,24.1,1033.3,8.6,4.9,8.9,44.1,19.0,0
312,33.8,31.1,1030.6,3.1,4.8,10.1,46.0,28.0,0
313,42.4,35.7,1023.5,8.2,6.6,12.0,61.0,32.0,0
314,42.8,33.5,1025.8,9.6,6.3,15.9,51.1,32.0,0
315,43.3,33.9,1025.7,8.7,4.5,13.0,59.0,33.1,0
316,46.2,38.3,1023.1,4.5,6.5,15.0,66.9,34.0,0
317,53.8,41.5,1018.7,10.9,8.1,15.0,66.9,42.1,0
318,53.9,42.7,1015.1,11.7,6.2,15.0,68.0,43.0,0
319,54.5,42.3,1012.8,11.3,3.1,8.0,70.0,42.1,0
320,56.8,46.5,1010.6,8.8,9.2,20.0,71.1,45.0,0
321,61.0,50.0,1006.9,10.7,14.0,19.0,71.1,53.1,0
322,47.2,44.7,1009.8,4.9,10.1,15.0,64.0,37.9,1
323,35.9,35.0,999.9,4.7,7.9,17.1,37.9,32.0,1
324,32.6,25.6,1009.7,13.0,10.5,15.9,37.0,30.9,1
325,32.2,25.7,1011.6,12.0,3.2,8.0,41.0,27.0,0
326,39.9,32.9,1001.2,11.4,6.3,11.1,55.0,30.9,0
327,43.0,32.0,1004.3,12.0,6.6,10.1,46.9,36.0,0
328,34.4,27.0,1011.3,13.4,9.8,20.0,37.9,32.0,1
329,36.2,27.5,1010.0,11.6,6.9,20.0,57.0,26.1,0
330,34.6,26.4,1020.6,11.7,11.0,30.1,48.9,28.0,0
331,35.3,29.3,1022.3,10.4,8.3,17.1,52.0,27.0,0
332,41.8,31.9,1020.9,11.4,7.1,15.0,46.9,33.1,0
333,40.0,28.0,1024.1,10.0,4.0,10.1,48.9,28.9,0
334,41.6,30.0,1015.8,9.5,14.1,27.0,54.0,34.0,1
335,44.4,40.3,1010.0,9.4,12.5,25.1,55.9,37.0,1
336,43.9,41.1,998.0,4.6,13.5,18.1,55.0,36.0,1
337,33.5,27.7,998.6,9.5,9.8,20.0,43.0,25.0,1
338,40.6,31.7,1005.6,13.2,11.5,20.0,50.0,34.0,0
339,32.2,24.3,1010.1,11.0,14.4,25.1,45.0,26.1,0
340,39.6,30.5,1010.1,12.2,4.1,7.0,51.1,33.1,0
341,37.4,28.0,1009.6,10.5,15.9,22.0,45.0,33.1,0
342,28.7,20.7,1014.9,10.1,13.2,22.0,35.1,21.0,1
343,32.4,22.7,1009.3,12.8,6.2,15.0,55.0,21.0,0
344,37.1,26.5,1016.9,14.4,7.6,17.1,42.1,33.1,0
345,31.2,21.0,1017.9,12.3,6.6,15.0,46.0,21.0,0
346,37.3,29.9,1010.9,13.3,12.3,28.9,39.9,34.0,1
347,27.8,16.9,1020.0,9.4,19.9,28.0,34.0,21.0,1
348,29.0,20.0,1017.3,12.2,12.9,30.1,37.9,23.0,0
349,18.0,9.9,1032.0,12.0,6.1,15.0,27.0,12.9,1
350,16.5,8.0,1037.7,10.7,4.0,7.0,26.1,9.0,0
351,25.2,16.9,1029.0,9.6,8.4,15.0,44.1,16.0,0
352,36.1,29.8,1016.6,11.0,6.7,12.0,46.9,28.0,0
353,35.9,32.7,1007.9,8.9,4.7,15.0,45.0,28.0,1
354,31.8,28.3,1006.9,8.5,9.3,15.0,41.0,21.0,1
355,11.2,1.6,1030.4,9.8,18.3,25.1,19.9,3.9,1
356,16.2,5.3,1035.3,13.7,6.5,17.1,37.9,6.1,0
357,34.3,22.0,1022.7,13.3,5.8,12.0,52.0,23.0,0
358,35.8,22.8,1021.3,13.8,6.7,13.0,52.0,25.0,0
359,35.5,24.4,1020.8,13.9,7.1,15.0,45.0,24.1,0
360,33.6,26.4,1010.4,13.5,11.7,22.9,41.0,28.0,0
361,27.8,17.7,1013.5,12.7,6.9,15.0,46.0,15.1,0
362,30.5,20.9,1007.4,12.7,9.0,18.1,37.0,21.0,1
363,17.5,6.8,1024.2,13.7,6.0,15.9,41.0,5.0,0
364,33.6,22.5,1017.7,14.9,4.7,10.1,55.9,19.0,0
365,25.1,17.4,1023.0,14.9,7.8,15.9,44.1,14.2,1
366,33.6,23.6,1014.8,14.9,7.1,12.0,50.0,26.2,0
367,37.3,31.8,1009.7,14.8,3.8,9.9,44.1,31.1,0
368,31.7,24.1,1018.2,13.5,7.8,14.0,39.0,23.2,0
369,27.7,20.1,1020.1,14.9,2.9,8.0,44.1,17.2,0
370,31.6,23.4,1023.3,14.3,4.4,8.9,44.1,19.2,0
371,32.7,26.8,1016.5,14.9,1.7,7.0,46.9,23.2,0
372,32.7,27.4,1006.7,14.7,2.7,7.0,44.1,26.2,0
373,43.7,34.0,1007.2,14.9,10.1,18.1,48.0,37.9,0
374,40.2,30.1,1014.2,14.9,3.1,9.9,64.9,29.1,0
375,43.2,22.7,1015.5,14.9,15.2,32.1,57.9,34.0,0
